employee_idx,feature,shap_value
0,Age,-0.010538761503994465
0,DailyRate,-0.0020160942804068327
0,DistanceFromHome,0.0018207401735708117
0,Education,0.004498443100601435
0,EnvironmentSatisfaction,0.0014018003130331635
0,HourlyRate,0.016166068613529205
0,JobInvolvement,-0.009033194743096828
0,JobLevel,-0.00750654237344861
0,JobSatisfaction,-0.000848623807542026
0,MonthlyIncome,-0.022984905168414116
0,MonthlyRate,-0.010223974473774433
0,NumCompaniesWorked,0.05055297166109085
0,PercentSalaryHike,-0.011372620239853859
0,PerformanceRating,-0.0009893861133605242
0,RelationshipSatisfaction,0.01719456911087036
0,StockOptionLevel,-0.00029906537383794785
0,TotalWorkingYears,-0.009624154306948185
0,TrainingTimesLastYear,0.01757102832198143
0,WorkLifeBalance,0.05015723779797554
0,YearsAtCompany,-0.014753246679902077
0,YearsInCurrentRole,-0.006390738300979137
0,YearsSinceLastPromotion,-0.004795887041836977
0,YearsWithCurrManager,-0.0020158689003437757
0,BusinessTravel_Travel_Frequently,-0.01328420452773571
0,BusinessTravel_Travel_Rarely,-0.012892225757241249
0,Department_Research & Development,0.05008489638566971
0,Department_Sales,0.018307719379663467
0,EducationField_Life Sciences,-0.028294604271650314
0,EducationField_Marketing,-0.0002472359628882259
0,EducationField_Medical,0.0040479726158082485
0,EducationField_Other,-0.002984754741191864
0,EducationField_Technical Degree,-0.0005932528874836862
0,Gender_Male,0.010816866531968117
0,JobRole_Human Resources,-0.00034850751399062574
0,JobRole_Laboratory Technician,-0.005608255509287119
0,JobRole_Manager,-0.0008001509122550488
0,JobRole_Manufacturing Director,-0.00550018809735775
0,JobRole_Research Director,-0.002540893154218793
0,JobRole_Research Scientist,-0.003679865039885044
0,JobRole_Sales Executive,-0.005163576919585466
0,JobRole_Sales Representative,-0.003271975787356496
0,MaritalStatus_Married,-0.0001804022176656872
0,MaritalStatus_Single,0.009154495783150196
0,OverTime_Yes,0.039733655750751495
1,Age,0.005005242303013802
1,DailyRate,0.014814486727118492
1,DistanceFromHome,-0.010882055386900902
1,Education,0.009064873680472374
1,EnvironmentSatisfaction,-0.01196795143187046
1,HourlyRate,-0.009318034164607525
1,JobInvolvement,-0.00013665900041814893
